refset;algorithm;variation;bp distance;Recall snps;Recall genes;ROC-AUC overall (lso);ROC-AUC - mean per snpl (lso);Hits@1(lso);Hits@3(lso);Hits@5(lso);Hits@10(lso);Mean rank (lso);Median rank (lso);ROC-AUC overall (lco);ROC-AUC - mean per snpl (lco);Hits@1(lco);Hits@3(lco);Hits@5(lco);Hits@10(lco);Mean rank (lco);Median rank (lco)
Teslovich;KNN3;graphlet;500;60,0;71,0;66,84349858327646;0,5257315828685507;11,0;25,0;40,0;59,0;5,957746478873239;5,0;70,36019536019535;0,6345531834877459;13,0;35,0;38,0;59,0;4,841269841269841;3,0
Teslovich;KNN3;graphlet;1000;76,0;94,0;72,69535038988198;0,5645242155988551;13,0;36,0;47,0;64,0;9,095744680851064;5,5;69,39893660090145;0,6035044860923556;10,0;24,0;38,0;60,0;8,481012658227849;6,0
Teslovich;KNN3;graphlet;2000;89,0;121,0;68,6270137923346;0,5508282014264086;10,0;25,0;33,0;49,0;19,785123966942148;14,0;74,05402022997983;0,6676051390411023;9,0;20,0;34,0;55,0;11,619565217391305;8,0
Teslovich;KNN3;autoencode;100;22,0;24,0;61,97183098591549;0,5095654345654346;7,0;18,0;24,0;24,0;2,6666666666666665;3,0;65,1967435549525;0,4935064935064935;7,0;19,0;20,0;22,0;2,4545454545454546;2,0
Teslovich;KNN3;autoencode;500;60,0;71,0;62,71018179561953;0,48220192914767296;6,0;23,0;39,0;58,0;7,014084507042254;5,0;64,66854904354905;0,5608134692678036;12,0;25,0;34,0;55,0;6,174603174603175;5,0
Teslovich;KNN3;autoencode;1000;76,0;94,0;72,11241701623774;0,5560052624083531;14,0;31,0;42,0;66,0;9,0;6,5;69,4299748994629;0,6024560204166705;6,0;25,0;35,0;65,0;8,291139240506329;7,0
Teslovich;KNN3;autoencode;2000;89,0;121,0;67,99366440265119;0,5269797862828809;9,0;26,0;30,0;53,0;20,28099173553719;14,0;74,04224149354378;0,6684062983737262;4,0;18,0;34,0;60,0;11,576086956521738;8,0
Teslovich;KNN3;combi;100;22,0;24,0;82,77582159624413;0,7487762237762238;13,0;22,0;23,0;24,0;1,8333333333333333;1,0;79,88466757123473;0,7561688311688312;14,0;20,0;20,0;22,0;1,9545454545454546;1,0
Teslovich;KNN3;combi;500;60,0;71,0;66,72871295319642;0,5293402523397887;13,0;31,0;41,0;57,0;6,507042253521127;5,0;65,68223443223444;0,5633066950822367;11,0;26,0;37,0;56,0;6,031746031746032;4,0
Teslovich;KNN3;combi;1000;76,0;94,0;73,12837761233514;0,5640483986590065;14,0;33,0;45,0;67,0;8,893617021276595;6,0;68,59194083830396;0,596205315093651;11,0;25,0;31,0;57,0;8,531645569620252;7,0
Teslovich;KNN3;combi;2000;89,0;121,0;69,2800304579846;0,5543010222137427;7,0;25,0;37,0;56,0;19,446280991735538;13,0;74,62234426301919;0,6809907256659212;10,0;23,0;34,0;59,0;11,326086956521738;8,0
Teslovich;KNN5;normal;100;22,0;24,0;67,95774647887323;0,5778971028971029;9,0;18,0;23,0;24,0;2,4583333333333335;2,0;64,38263229308005;0,4835164835164836;7,0;19,0;22,0;22,0;2,409090909090909;2,5
Teslovich;KNN5;normal;500;60,0;71,0;65,59740232880395;0,4630309053779757;7,0;24,0;44,0;59,0;6,394366197183099;4,0;66,36523199023199;0,5223407088554147;13,0;29,0;35,0;55,0;5,936507936507937;5,0
Teslovich;KNN5;normal;1000;76,0;94,0;71,83874381164733;0,5445650162850739;12,0;29,0;43,0;63,0;9,074468085106384;6,0;70,3165906453267;0,5973878317079627;4,0;24,0;38,0;59,0;7,746835443037975;6,0
Teslovich;KNN5;normal;2000;89,0;121,0;68,36113746269001;0,5241424624985814;5,0;20,0;33,0;55,0;20,446280991735538;14,0;71,15553085292775;0,6241295800746327;3,0;15,0;30,0;55,0;13,0;8,0
Teslovich;KNN5;graphlet;100;22,0;24,0;79,34272300469483;0,6981268731268732;11,0;22,0;23,0;24,0;1,9166666666666667;2,0;70,96336499321573;0,650074925074925;10,0;18,0;22,0;22,0;2,1818181818181817;2,0
Teslovich;KNN5;graphlet;500;60,0;71,0;68,20851688693098;0,5668523431213418;13,0;31,0;47,0;58,0;6,154929577464789;4,0;70,53825803825804;0,6367293916291458;13,0;35,0;44,0;55,0;4,968253968253968;3,0
Teslovich;KNN5;graphlet;1000;76,0;94,0;72,04313266064524;0,5489776010207876;8,0;30,0;47,0;65,0;9,27659574468085;5,5;68,5793455867138;0,5944667844372882;10,0;24,0;39,0;57,0;8,531645569620252;6,0
Teslovich;KNN5;graphlet;2000;89,0;121,0;69,11322671636422;0,5562867135979697;10,0;33,0;40,0;55,0;19,85123966942149;14,0;73,61747081081876;0,6710611873383561;8,0;23,0;36,0;54,0;11,902173913043478;7,5
Teslovich;KNN5;autoencode;100;22,0;24,0;71,21478873239437;0,6283716283716284;9,0;21,0;22,0;24,0;2,3333333333333335;2,0;67,23202170963364;0,5692307692307693;8,0;18,0;21,0;22,0;2,4545454545454546;2,0
Teslovich;KNN5;autoencode;500;60,0;71,0;62,69673843353809;0,4748285216029304;7,0;26,0;42,0;57,0;7,056338028169014;5,0;65,13532763532764;0,5442015234470142;10,0;27,0;37,0;54,0;6,142857142857143;5,0
Teslovich;KNN5;autoencode;1000;76,0;94,0;73,14821813234572;0,5669664993031486;11,0;32,0;47,0;65,0;8,72340425531915;5,5;69,35395355950806;0,5947570749554515;7,0;25,0;38,0;58,0;8,316455696202532;6,0
Teslovich;KNN5;autoencode;2000;89,0;121,0;67,5612998491825;0,536139641787945;7,0;23,0;34,0;52,0;20,94214876033058;14,0;71,94139342452038;0,6482350123368179;4,0;16,0;32,0;53,0;12,326086956521738;9,0
Teslovich;KNN5;combi;100;22,0;24,0;81,77816901408451;0,7504745254745255;13,0;23,0;23,0;24,0;1,8333333333333333;1,0;77,95115332428766;0,6880619380619382;11,0;21,0;21,0;22,0;1,8636363636363635;1,5
Teslovich;KNN5;combi;500;60,0;71,0;67,9282744927716;0,5434448217226834;12,0;35,0;42,0;59,0;6,380281690140845;4,0;67,42216117216118;0,5924921447157112;13,0;29,0;40,0;54,0;5,904761904761905;4,0
Teslovich;KNN5;combi;1000;76,0;94,0;70,99536424675308;0,5625964991831761;10,0;27,0;42,0;65,0;9,52127659574468;6,0;67,0314791323671;0,575790372852879;2,0;25,0;36,0;55,0;9,0;7,0
Teslovich;KNN5;combi;2000;89,0;121,0;68,59241200734526;0,5581257595011921;7,0;20,0;33,0;56,0;20,05785123966942;12,0;71,88176357131289;0,6531303182367035;8,0;22,0;31,0;51,0;12,48913043478261;9,5
Teslovich;KNN7;normal;100;22,0;24,0;69,24882629107981;0,6058191808191808;10,0;19,0;23,0;24,0;2,4166666666666665;2,0;69,13161465400272;0,5714285714285714;9,0;18,0;21,0;22,0;2,409090909090909;2,0
Teslovich;KNN7;normal;500;60,0;71,0;65,32646687762403;0,46945015076454877;8,0;24,0;42,0;60,0;6,436619718309859;5,0;69,31344118844119;0,5649529550829862;12,0;34,0;40,0;55,0;5,587301587301587;3,0
Teslovich;KNN7;normal;1000;76,0;94,0;71,71088268269025;0,5505707842142472;11,0;27,0;44,0;64,0;9,138297872340425;6,0;69,31256916142614;0,5708941505755583;6,0;22,0;40,0;58,0;8,075949367088608;5,0
Teslovich;KNN7;normal;2000;89,0;121,0;67,01219371109927;0,5058532480411945;5,0;17,0;26,0;54,0;21,611570247933884;14,0;69,98115402170232;0,6058104023797363;1,0;15,0;25,0;52,0;13,358695652173912;9,0
Teslovich;KNN7;graphlet;100;22,0;24,0;77,69953051643192;0,6792707292707293;11,0;21,0;23,0;24,0;2,0;2,0;70,42062415196743;0,6544455544455544;10,0;18,0;22,0;22,0;2,1818181818181817;2,0
Teslovich;KNN7;graphlet;500;60,0;71,0;68,69040971231206;0,5786221814009703;12,0;29,0;46,0;61,0;5,859154929577465;4,0;69,3299755799756;0,626154315750615;14,0;30,0;43,0;54,0;5,238095238095238;4,0
Teslovich;KNN7;graphlet;1000;76,0;94,0;71,4003627980802;0,565470275888432;10,0;30,0;45,0;63,0;9,308510638297872;6,0;68,21723210349697;0,590654475959987;9,0;25,0;40,0;55,0;8,683544303797468;5,0
Teslovich;KNN7;graphlet;2000;89,0;121,0;68,77183646081583;0,5565899438624071;9,0;30,0;36,0;57,0;20,355371900826448;12,0;72,78467733623876;0,6546990678978379;8,0;17,0;34,0;57,0;12,282608695652174;8,0
Teslovich;KNN7;autoencode;100;22,0;24,0;55,839201877934265;0,4666833166833167;7,0;14,0;21,0;24,0;3,1666666666666665;3,0;57,632293080054275;0,4448551448551449;5,0;15,0;20,0;22,0;2,8636363636363638;2,0
Teslovich;KNN7;autoencode;500;60,0;71,0;63,69775185621806;0,5107454772772365;9,0;28,0;39,0;60,0;6,901408450704225;5,0;65,82086894586894;0,5535814713210392;8,0;29,0;37,0;53,0;6,063492063492063;4,0
Teslovich;KNN7;autoencode;1000;76,0;94,0;72,12312459846567;0,5429119817685839;10,0;30,0;48,0;64,0;9,127659574468085;5,0;69,61620469083155;0,5935070558245287;6,0;26,0;40,0;58,0;8,354430379746836;5,0
Teslovich;KNN7;autoencode;2000;89,0;121,0;67,5728688350452;0,5213891811606586;6,0;22,0;32,0;52,0;20,834710743801654;14,0;70,23402876956375;0,6197415396452913;4,0;11,0;28,0;52,0;13,08695652173913;9,0
Teslovich;KNN7;combi;100;22,0;24,0;75,0;0,7432567432567432;10,0;20,0;24,0;24,0;2,0833333333333335;2,0;74,32157394843962;0,6305194805194805;10,0;20,0;21,0;22,0;2,090909090909091;2,0
Teslovich;KNN7;combi;500;60,0;71,0;68,75866062749478;0,5452337823438927;11,0;35,0;46,0;60,0;6,323943661971831;4,0;67,4488705738706;0,5899768621863621;11,0;29,0;41,0;54,0;5,841269841269841;4,0
Teslovich;KNN7;combi;1000;76,0;94,0;67,88985047176348;0,5275009271755218;6,0;20,0;36,0;60,0;10,542553191489361;7,0;65,72382211906111;0,5523056549950257;5,0;20,0;36,0;52,0;9,556962025316455;6,0
Teslovich;KNN7;combi;2000;89,0;121,0;67,04847825766865;0,5444586122117598;5,0;20,0;25,0;51,0;21,09090909090909;12,0;69,81422724127269;0,6209380897851291;5,0;18,0;31,0;50,0;13,619565217391305;8,5
Teslovich;KNN9;normal;100;22,0;24,0;74,76525821596243;0,6508741258741259;10,0;21,0;24,0;24,0;2,0833333333333335;2,0;69,19945725915876;0,538961038961039;8,0;20,0;22,0;22,0;2,1818181818181817;2,0
