refset;algorithm;variation;bp distance;Recall snps;Recall genes;ROC-AUC overall (lso);ROC-AUC - mean per snpl (lso);Hits@1(lso);Hits@3(lso);Hits@5(lso);Hits@10(lso);Mean rank (lso);Median rank (lso);ROC-AUC overall (lco);ROC-AUC - mean per snpl (lco);Hits@1(lco);Hits@3(lco);Hits@5(lco);Hits@10(lco);Mean rank (lco);Median rank (lco)
DeRycke;KNN5;graphlet;1000;95,0;157,0;75,41851468969887;0,7226028747531978;24,0;58,0;82,0;117,0;7,611464968152866;5,0;65,38199886617534;0,5682905545640397;18,0;45,0;67,0;101,0;12,777070063694268;7,0
DeRycke;KNN5;graphlet;2000;106,0;175,0;79,22310979007989;0,8036745708140091;28,0;64,0;88,0;119,0;10,782857142857143;5,0;68,9579788222181;0,6889630844131965;20,0;35,0;59,0;93,0;16,86285714285714;9,0
DeRycke;KNN7;graphlet;100;29,0;36,0;76,41093474426808;0,7896551724137931;22,0;32,0;36,0;36,0;1,8333333333333333;1,0;75,3747795414462;0,7928944618599789;21,0;33,0;35,0;36,0;1,9166666666666667;1,0
DeRycke;KNN7;graphlet;500;76,0;116,0;75,59210259734996;0,7331437191429216;30,0;61,0;75,0;105,0;4,913793103448276;3,0;66,05565460512986;0,610925536649957;24,0;45,0;65,0;92,0;7,060344827586207;5,0
DeRycke;KNN7;graphlet;1000;95,0;157,0;73,55504051755761;0,7143451332851086;31,0;54,0;79,0;115,0;8,35031847133758;5,0;64,60199419748558;0,585980767379774;20,0;40,0;62,0;100,0;13,095541401273886;7,0
DeRycke;KNN7;graphlet;2000;106,0;175,0;77,77625859186327;0,7904022400572297;32,0;57,0;81,0;112,0;11,388571428571428;6,0;67,0565855470927;0,6617727751821936;15,0;37,0;53,0;91,0;18,165714285714287;10,0
DeRycke;KNN9;graphlet;100;29,0;36,0;72,72927689594356;0,741692789968652;20,0;32,0;36,0;36,0;1,9444444444444444;1,0;73,12610229276896;0,7447230929989551;20,0;30,0;36,0;36,0;1,9722222222222223;1,0
DeRycke;KNN9;graphlet;500;76,0;116,0;75,95729162445804;0,7527560951421186;37,0;63,0;76,0;99,0;4,922413793103448;3,0;65,475201588395;0,5824255880377298;25,0;48,0;66,0;92,0;7,4655172413793105;4,5
DeRycke;KNN9;graphlet;1000;95,0;157,0;72,59545803181378;0,712022795973773;26,0;60,0;83,0;107,0;8,910828025477707;5,0;64,38890185747157;0,5861291455260237;15,0;45,0;65,0;95,0;13,26751592356688;7,0
DeRycke;KNN9;graphlet;2000;106,0;175,0;75,41103473899312;0,7600589175664397;23,0;56,0;75,0;109,0;12,377142857142857;7,0;64,74203975478358;0,6213481612341104;11,0;33,0;49,0;83,0;19,754285714285714;12,0
DeRycke;RF;graphlet;100;29,0;36,0;73,50088183421516;0,7766980146290492;22,0;30,0;34,0;36,0;2,111111111111111;1,0;63,35978835978836;0,5772204806687566;14,0;30,0;34,0;36,0;2,4722222222222223;2,0
DeRycke;RF;graphlet;500;76,0;116,0;82,78799789294541;0,801795239648209;50,0;76,0;91,0;105,0;4,163793103448276;2,0;60,81384983184084;0,48066062599908055;10,0;45,0;63,0;83,0;8,491379310344827;5,0
DeRycke;RF;graphlet;1000;95,0;157,0;81,66355420682295;0,7843888832603496;53,0;92,0;107,0;132,0;6,936305732484076;3,0;59,33571214192818;0,5147889138639371;11,0;38,0;60,0;88,0;16,012738853503183;9,0
DeRycke;RF;graphlet;2000;106,0;175,0;81,41125766301319;0,7877697161597066;55,0;84,0;93,0;123,0;10,297142857142857;5,0;57,73732119635891;0,5424706168415614;7,0;19,0;34,0;64,0;25,885714285714286;14,0
farashi;LR;graphlet;100;54,0;55,0;73,15546772068511;0,7052469135802469;30,0;49,0;54,0;55,0;1,9454545454545455;1,0;69,1699604743083;0,6620370370370369;24,0;51,0;53,0;55,0;2,018181818181818;2,0
farashi;LR;graphlet;500;135,0;144,0;79,94673037565194;0,6467106974339205;47,0;88,0;108,0;131,0;4,354166666666667;2,0;73,85208292071037;0,646747772395119;34,0;80,0;105,0;120,0;6,0;3,0
farashi;LR;graphlet;1000;173,0;185,0;77,02143237026958;0,6156409934262769;45,0;79,0;108,0;141,0;8,686486486486487;5,0;77,22304722304723;0,6923254167080979;29,0;84,0;115,0;139,0;8,118918918918919;4,0
farashi;LR;graphlet;2000;194,0;208,0;68,73126213197558;0,538367844766422;30,0;48,0;69,0;105,0;18,53846153846154;10,0;80,09228558797524;0,7496871225092447;25,0;82,0;116,0;139,0;10,399038461538462;4,0
farashi;SVM;graphlet;100;54,0;55,0;73,61001317523058;0,7063271604938272;29,0;50,0;55,0;55,0;1,8363636363636364;1,0;63,023715415019765;0,5842592592592593;21,0;45,0;53,0;55,0;2,309090909090909;2,0
farashi;SVM;graphlet;500;135,0;144,0;82,96114742193174;0,7254131563030987;57,0;97,0;112,0;134,0;3,7777777777777777;2,0;65,03845646002509;0,48703164979194447;15,0;50,0;78,0;114,0;7,173611111111111;5,0
farashi;SVM;graphlet;1000;173,0;185,0;84,19709768546979;0,7282525840618918;59,0;114,0;128,0;156,0;5,6702702702702705;2,0;63,40762945414109;0,48604387798134535;14,0;36,0;58,0;104,0;13,345945945945946;9,0
farashi;SVM;graphlet;2000;194,0;208,0;85,69754413244306;0,7654936110814479;56,0;122,0;138,0;160,0;7,961538461538462;3,0;62,879616502535654;0,49563180820136016;9,0;25,0;43,0;84,0;21,221153846153847;14,5
farashi;DT;graphlet;100;54,0;55,0;73,97233201581028;0,7162037037037037;30,0;49,0;54,0;55,0;1,8909090909090909;1,0;70,49407114624506;0,6461419753086419;22,0;52,0;53,0;55,0;1,9636363636363636;2,0
farashi;DT;graphlet;500;135,0;144,0;83,2458572654651;0,6994209613573177;47,0;99,0;116,0;135,0;3,6527777777777777;2,0;74,33051924473493;0,6459612502866494;28,0;79,0;108,0;124,0;5,604166666666667;3,0
farashi;DT;graphlet;1000;173,0;185,0;84,57732713546667;0,7122096830223568;46,0;108,0;133,0;162,0;5,610810810810811;2,0;76,49456765735835;0,6907252853800677;31,0;68,0;106,0;140,0;8,18918918918919;4,0
farashi;DT;graphlet;2000;194,0;208,0;87,13604073294917;0,7707980455190688;47,0;129,0;144,0;172,0;7,576923076923077;3,0;78,43465120887832;0,7266063948702262;28,0;60,0;93,0;136,0;11,129807692307692;6,0
farashi;KNN1;graphlet;100;54,0;55,0;71,38998682476944;0,6915123456790125;29,0;47,0;54,0;55,0;2,0;1,0;68,78787878787878;0,6584876543209875;27,0;46,0;54,0;55,0;2,0727272727272728;2,0
farashi;KNN1;graphlet;500;135,0;144,0;82,81796725424178;0,6921201382908941;45,0;96,0;116,0;136,0;3,6527777777777777;2,0;72,8791179771572;0,6267110884596208;33,0;75,0;104,0;120,0;6,166666666666667;3,0
farashi;KNN1;graphlet;1000;173,0;185,0;84,59259156933575;0,7023890159805706;41,0;110,0;135,0;161,0;5,6;2,0;76,83508195136102;0,6893135263182101;28,0;81,0;110,0;139,0;8,151351351351352;4,0
farashi;KNN1;graphlet;2000;194,0;208,0;86,1113016657012;0,7533024934861494;47,0;121,0;142,0;167,0;8,0625;3,0;79,02622793377847;0,7402464024007325;22,0;72,0;107,0;139,0;10,85576923076923;5,0
farashi;KNN3;graphlet;100;54,0;55,0;73,51119894598156;0,7137345679012347;32,0;46,0;53,0;55,0;2,0;1,0;70,77075098814231;0,6768518518518518;29,0;44,0;53,0;55,0;2,090909090909091;1,0
farashi;KNN3;graphlet;500;135,0;144,0;78,72124017957351;0,6469806887956813;29,0;87,0;103,0;134,0;4,263888888888889;3,0;69,0668944345415;0,5691179870623383;20,0;69,0;98,0;119,0;6,868055555555555;4,0
farashi;KNN3;graphlet;1000;173,0;185,0;81,43223212990655;0,6822851103238733;28,0;84,0;127,0;157,0;6,405405405405405;4,0;72,9176480339271;0,6407848852537916;17,0;66,0;95,0;130,0;9,464864864864865;5,0
farashi;KNN3;graphlet;2000;194,0;208,0;83,22986219092046;0,7250080265168964;28,0;84,0;125,0;157,0;9,26923076923077;4,0;75,77082507596776;0,7057466942765046;18,0;45,0;82,0;129,0;12,432692307692308;7,0
farashi;KNN5;graphlet;100;54,0;55,0;70,23715415019764;0,6890432098765432;29,0;45,0;53,0;54,0;2,109090909090909;1,0;73,90645586297761;0,729320987654321;33,0;47,0;53,0;54,0;2,018181818181818;1,0
farashi;KNN5;graphlet;500;135,0;144,0;75,48483197993001;0,6187447300011716;28,0;73,0;100,0;129,0;4,805555555555555;3,0;68,75907770515613;0,5537886151853775;30,0;62,0;95,0;115,0;7,069444444444445;4,0
farashi;KNN5;graphlet;1000;173,0;185,0;79,28291695733557;0,6710182944475277;29,0;70,0;110,0;155,0;6,940540540540541;5,0;70,77496356566122;0,6074667729901098;19,0;60,0;84,0;129,0;10,454054054054055;6,0
farashi;KNN5;graphlet;2000;194,0;208,0;81,93186784149924;0,7185909150402138;22,0;66,0;111,0;153,0;9,461538461538462;5,0;73,70121167312011;0,6851067520700076;16,0;51,0;71,0;121,0;13,64423076923077;8,0
farashi;KNN7;graphlet;100;54,0;55,0;71,87747035573123;0,7129629629629628;31,0;46,0;53,0;55,0;2,0545454545454547;1,0;71,92358366271408;0,7185185185185186;32,0;46,0;53,0;55,0;2,0727272727272728;1,0
farashi;KNN7;graphlet;500;135,0;144,0;73,02250445632798;0,6075855046873567;23,0;65,0;97,0;124,0;5,256944444444445;4,0;67,96952366805309;0,535158387619619;22,0;61,0;87,0;116,0;6,958333333333333;4,0
farashi;KNN7;graphlet;1000;173,0;185,0;77,45767745767746;0,6551396427183197;26,0;73,0;102,0;142,0;7,481081081081081;5,0;70,85418666814016;0,5934642377166129;24,0;63,0;84,0;128,0;10,632432432432433;6,0
farashi;KNN7;graphlet;2000;194,0;208,0;80,56292366637194;0,7096267853424311;21,0;62,0;90,0;146,0;10,057692307692308;6,5;71,28650390763947;0,6505048844596875;15,0;45,0;67,0;110,0;15,024038461538462;9,0
farashi;KNN9;graphlet;100;54,0;55,0;70,42819499341239;0,6981481481481482;30,0;45,0;53,0;55,0;2,109090909090909;1,0;69,30830039525692;0,6709876543209877;26,0;46,0;53,0;55,0;2,1272727272727274;2,0
farashi;KNN9;graphlet;500;135,0;144,0;72,21830230408662;0,5815334597466445;23,0;65,0;95,0;122,0;5,590277777777778;4,0;66,16450452234767;0,5215476911203342;24,0;57,0;80,0;113,0;7,444444444444445;4,0
farashi;KNN9;graphlet;1000;173,0;185,0;75,9396605908234;0,6243685246282897;31,0;64,0;95,0;143,0;8,054054054054054;5,0;69,67847991103807;0,5747875951096145;29,0;62,0;83,0;119,0;11,237837837837837;7,0
farashi;KNN9;graphlet;2000;194,0;208,0;78,7483040641483;0,6916253526320868;18,0;51,0;83,0;128,0;10,879807692307692;7,0;69,97637758264989;0,6283868124729165;13,0;42,0;58,0;111,0;16,014423076923077;9,5
farashi;RF;graphlet;100;54,0;55,0;71,37022397891964;0,6731481481481482;29,0;49,0;52,0;55,0;2,0545454545454547;1,0;64,3741765480896;0,6000000000000001;23,0;48,0;51,0;55,0;2,309090909090909;2,0
farashi;RF;graphlet;500;135,0;144,0;83,04264045685615;0,7033859023679502;49,0;97,0;116,0;134,0;3,763888888888889;2,0;70,23998151449132;0,5634289282228097;24,0;65,0;85,0;121,0;6,097222222222222;4,5
farashi;RF;graphlet;1000;173,0;185,0;82,72528853924203;0,7034521023379058;51,0;106,0;126,0;155,0;6,518918918918919;2,0;70,45302905768021;0,5611339253930238;17,0;56,0;77,0;124,0;10,616216216216216;7,0
farashi;RF;graphlet;2000;194,0;208,0;82,90372801000031;0,7328336577204339;52,0;108,0;126,0;155,0;9,836538461538462;3,0;68,5616050286086;0,5636702058212915;9,0;39,0;60,0;95,0;17,73076923076923;12,0
farashi p-value cutoff;LR;graphlet;100;24,0;25,0;75,97014925373135;0,7243055555555555;14,0;23,0;25,0;25,0;1,84;1,0;78,08955223880596;0,7555555555555555;15,0;23,0;24,0;25,0;1,8;1,0
farashi p-value cutoff;LR;graphlet;500;60,0;62,0;79,71569163477311;0,6527590599965106;21,0;35,0;49,0;55,0;5,0;2,5;73,9191986253222;0,6376128943768324;16,0;36,0;46,0;49,0;6,790322580645161;3,0
farashi p-value cutoff;LR;graphlet;1000;79,0;83,0;81,30608465762519;0,6673420134383196;24,0;43,0;53,0;66,0;8,578313253012048;3,0;78,63323763881044;0,7076304099193267;14,0;41,0;51,0;60,0;9,108433734939759;4,0
farashi p-value cutoff;LR;graphlet;2000;88,0;92,0;78,21002759992402;0,6812733406628694;26,0;43,0;51,0;59,0;15,815217391304348;4,0;80,70519481970658;0,7538591787190927;14,0;36,0;48,0;58,0;11,380434782608695;5,0
farashi p-value cutoff;SVM;graphlet;100;24,0;25,0;75,044776119403;0,7125;13,0;24,0;24,0;25,0;1,88;1,0;65,55223880597015;0,6152777777777777;11,0;21,0;23,0;25,0;2,32;2,0
farashi p-value cutoff;SVM;graphlet;500;60,0;62,0;86,77751308287121;0,8234529547844768;27,0;44,0;53,0;59,0;3,3870967741935485;2,0;67,98113723346091;0,5800195696761642;9,0;27,0;37,0;47,0;7,854838709677419;4,0
farashi p-value cutoff;SVM;graphlet;1000;79,0;83,0;86,63925882359791;0,7673355681580664;28,0;49,0;59,0;72,0;5,698795180722891;2,0;67,85100770408847;0,539203192756609;6,0;19,0;29,0;52,0;14,927710843373495;7,0
