refset;algorithm;variation;bp distance;Recall snps;Recall genes;ROC-AUC overall (lso);ROC-AUC - mean per snpl (lso);Hits@1(lso);Hits@3(lso);Hits@5(lso);Hits@10(lso);Mean rank (lso);Median rank (lso);ROC-AUC overall (lco);ROC-AUC - mean per snpl (lco);Hits@1(lco);Hits@3(lco);Hits@5(lco);Hits@10(lco);Mean rank (lco);Median rank (lco)
DeRycke;SVM;autoencode;1000;95,0;157,0;84,48127521926169;0,8239522017519467;57,0;98,0;114,0;138,0;6,292993630573249;2,0;62,01120485543736;0,5689089214400072;12,0;42,0;61,0;99,0;14,605095541401274;8,0
DeRycke;SVM;autoencode;2000;106,0;175,0;85,04848597436374;0,8393807011597931;62,0;104,0;116,0;137,0;9,331428571428571;2,0;61,261378413524056;0,5712116366947813;7,0;25,0;42,0;76,0;23,6;13,0
DeRycke;SVM;combi;100;29,0;36,0;74,88977072310405;0,8180773249738766;21,0;31,0;34,0;36,0;2,0;1,0;64,52821869488537;0,5996865203761755;12,0;31,0;34,0;36,0;2,2222222222222223;2,0
DeRycke;SVM;combi;500;76,0;116,0;86,23627375501437;0,8425423649406462;53,0;82,0;99,0;110,0;3,439655172413793;2,0;66,27952915434174;0,6009908429716767;17,0;52,0;70,0;93,0;7,431034482758621;4,0
DeRycke;SVM;combi;1000;95,0;157,0;86,83746290059025;0,848622889567706;63,0;104,0;117,0;142,0;4,961783439490445;2,0;64,09744222496415;0,616278648552437;18,0;46,0;57,0;99,0;13,522292993630574;7,0
DeRycke;SVM;combi;2000;106,0;175,0;85,71956158276053;0,849549939829802;65,0;107,0;116,0;135,0;8,028571428571428;2,0;62,249897826490795;0,6105729806733583;9,0;27,0;40,0;88,0;22,65142857142857;10,0
DeRycke;DT;normal;100;29,0;36,0;68,62874779541445;0,6989550679205851;18,0;29,0;34,0;36,0;2,1666666666666665;1,5;71,42857142857143;0,7200626959247648;19,0;32,0;34,0;35,0;2,25;1,0
DeRycke;DT;normal;500;76,0;116,0;87,20521496008753;0,8547324553787002;56,0;90,0;97,0;109,0;3,206896551724138;2,0;67,97327687507598;0,5970134623651338;22,0;56,0;74,0;89,0;6,9655172413793105;4,0
DeRycke;DT;normal;1000;95,0;157,0;85,60292793543869;0,8078578588948692;60,0;101,0;118,0;135,0;5,165605095541402;2,0;69,36189015239937;0,6361390081522231;15,0;56,0;72,0;105,0;10,662420382165605;7,0
DeRycke;DT;normal;2000;106,0;175,0;85,92628645736579;0,8346066924246806;65,0;109,0;117,0;139,0;8,177142857142858;2,0;73,48333642950028;0,7124102238277549;11,0;36,0;67,0;104,0;13,691428571428572;8,0
DeRycke;DT;autoencode;100;29,0;36,0;71,40652557319224;0,7276907001044932;19,0;31,0;35,0;36,0;2,111111111111111;1,0;68,29805996472663;0,6689655172413793;17,0;30,0;34,0;36,0;2,1666666666666665;2,0
DeRycke;DT;autoencode;500;76,0;116,0;86,05393249321284;0,8449557752810951;54,0;87,0;95,0;109,0;3,413793103448276;2,0;68,69960290125209;0,5808174913596738;25,0;56,0;74,0;92,0;6,810344827586207;4,0
DeRycke;DT;autoencode;1000;95,0;157,0;85,80484876779938;0,8124431239786384;58,0;99,0;118,0;137,0;4,936305732484076;2,0;71,60619601827459;0,6364452159665833;16,0;59,0;79,0;109,0;9,929936305732484;5,0
DeRycke;DT;autoencode;2000;106,0;175,0;86,59022849712056;0,841951065809485;66,0;113,0;119,0;141,0;7,7371428571428575;2,0;73,13735835036225;0,7030254019602332;9,0;34,0;68,0;100,0;13,90857142857143;8,0
DeRycke;DT;combi;100;29,0;36,0;71,62698412698414;0,7324973876698014;20,0;32,0;34,0;36,0;2,138888888888889;1,0;69,77513227513228;0,6897596656217345;15,0;33,0;35,0;36,0;2,0555555555555554;2,0
DeRycke;DT;combi;500;76,0;116,0;84,60837148993072;0,825518754075231;51,0;82,0;92,0;107,0;3,6206896551724137;2,0;68,76798087442765;0,6062279223796373;27,0;55,0;73,0;91,0;6,7844827586206895;4,0
DeRycke;DT;combi;1000;95,0;157,0;85,27528595724814;0,8157526577938095;60,0;99,0;115,0;134,0;5,203821656050955;2,0;70,78517357521592;0,6435023781069814;18,0;58,0;78,0;105,0;10,26751592356688;6,0
DeRycke;DT;combi;2000;106,0;175,0;86,2886122979751;0,8452135860824006;65,0;112,0;120,0;139,0;8,022857142857143;2,0;74,00074308006688;0,7194704941171752;18,0;41,0;69,0;103,0;13,617142857142857;7,0
DeRycke;KNN;normal;100;29,0;36,0;62,98500881834216;0,5825496342737723;16,0;29,0;34,0;35,0;2,5;2,0;70,01763668430335;0,6195402298850575;17,0;33,0;34,0;36,0;2,0833333333333335;2,0
DeRycke;KNN;normal;500;76,0;116,0;61,380120750435594;0,45671381823627333;19,0;41,0;63,0;81,0;7,974137931034483;5,0;71,38863000931967;0,6235827650621315;28,0;62,0;78,0;93,0;6,310344827586207;3,0
DeRycke;KNN;normal;1000;95,0;157,0;67,04088438323274;0,5355446204427528;20,0;48,0;72,0;102,0;11,92356687898089;7,0;72,14259512455396;0,6518465000876528;29,0;63,0;82,0;110,0;9,961783439490446;5,0
DeRycke;KNN;normal;2000;106,0;175,0;57,30722645365039;0,4627466366313489;14,0;27,0;37,0;62,0;25,21142857142857;15,0;76,737655582389;0,7451066695001789;23,0;63,0;80,0;110,0;12,268571428571429;7,0
DeRycke;KNN;autoencode;100;29,0;36,0;72,11199294532628;0,7479623824451411;22,0;30,0;35,0;35,0;2,1666666666666665;1,0;78,52733686067019;0,8272727272727273;22,0;33,0;35,0;36,0;1,8055555555555556;1,0
DeRycke;KNN;autoencode;500;76,0;116,0;58,906864135499816;0,44983527352104125;15,0;36,0;60,0;78,0;8,517241379310345;5,0;71,24680902791847;0,6232202343391889;28,0;61,0;77,0;93,0;6,318965517241379;3,0
DeRycke;KNN;autoencode;1000;95,0;157,0;59,44776069630172;0,4511267520695132;15,0;33,0;53,0;91,0;14,847133757961783;9,0;72,11608363624235;0,6571480717519735;29,0;63,0;82,0;110,0;9,980891719745223;5,0
DeRycke;KNN;autoencode;2000;106,0;175,0;56,18985695708714;0,4424278819209125;9,0;25,0;31,0;56,0;25,68;16,0;76,47453093070779;0,7422424581366958;21,0;56,0;80,0;110,0;12,354285714285714;7,0
DeRycke;KNN;combi;100;29,0;36,0;70,06172839506173;0,7400208986415882;20,0;29,0;34,0;36,0;2,138888888888889;1,0;84,34744268077601;0,8919540229885058;25,0;33,0;36,0;36,0;1,6111111111111112;1,0
DeRycke;KNN;combi;500;76,0;116,0;61,13649256452855;0,5134636199524526;21,0;40,0;60,0;79,0;8,060344827586206;5,0;70,98950524737631;0,626414825404143;31,0;60,0;78,0;92,0;6,379310344827586;3,0
DeRycke;KNN;combi;1000;95,0;157,0;61,8307933437823;0,48141239705810057;18,0;38,0;63,0;94,0;13,961783439490446;8,0;71,60286123987059;0,6441961606268614;27,0;61,0;80,0;106,0;10,101910828025478;5,0
DeRycke;KNN;combi;2000;106,0;175,0;60,25978079138028;0,5155965531572931;20,0;34,0;42,0;66,0;23,32;14,0;76,67575701281812;0,7417271733429505;28,0;62,0;80,0;109,0;12,285714285714286;7,0
DeRycke;RF;normal;100;29,0;36,0;70,74514991181658;0,7425287356321839;20,0;29,0;35,0;36,0;2,1944444444444446;1,0;60,36155202821869;0,5195402298850575;14,0;27,0;34,0;36,0;2,4722222222222223;2,0
DeRycke;RF;normal;500;76,0;116,0;82,80369950160056;0,8171982419231751;51,0;78,0;95,0;104,0;4,318965517241379;2,0;60,258721990356165;0,47873507845180113;9,0;40,0;61,0;85,0;8,491379310344827;5,0
DeRycke;RF;normal;1000;95,0;157,0;81,52816220362156;0,7863188691561718;50,0;89,0;107,0;134,0;7,082802547770701;3,0;60,22893253743289;0,517474657532985;10,0;41,0;56,0;92,0;15,343949044585987;9,0
