refset;algorithm;variation;binary;expression;bp distance;Recall snps;Recall genes;ROC-AUC overall (lso);ROC-AUC - mean per snpl (lso);Hits@1(lso);Hits@3(lso);Hits@5(lso);Hits@10(lso);Mean rank (lso);Median rank (lso);ROC-AUC overall (lco);ROC-AUC - mean per snpl (lco);Hits@1(lco);Hits@3(lco);Hits@5(lco);Hits@10(lco);Mean rank (lco);Median rank (lco)
farashi;SVM;combo;binary;no expression;1000;173,0;185,0;83,72224255945187;0,710898294704581;50,0;106,0;132,0;160,0;6,0;3,0;65,47820501308874;0,4937839191681624;15,0;40,0;66,0;119,0;13,027027027027026;8,0
farashi;SVM;combo;binary;no expression;2000;194,0;208,0;85,681315233188;0,7686763083274603;61,0;116,0;141,0;159,0;7,855769230769231;3,0;62,97527490675529;0,4716266966209425;9,0;19,0;48,0;84,0;21,45673076923077;15,0
farashi;SVM;combo;normal;diff expression;100;54,0;215,0;78,31454473787939;0,7032407407407409;32,0;79,0;116,0;176,0;9,6;5,0;64,13086322428066;0,6013888888888889;26,0;64,0;90,0;132,0;14,320930232558139;7,0
farashi;SVM;combo;normal;diff expression;500;135,0;531,0;84,8936443153791;0,6222236753493666;41,0;126,0;197,0;320,0;25,926553672316384;8,0;72,0094624880268;0,53311893582599;31,0;96,0;150,0;278,0;69,92090395480226;10,0
farashi;SVM;combo;normal;diff expression;1000;173,0;664,0;85,3837302056343;0,6285106252069615;40,0;113,0;175,0;294,0;44,60843373493976;12,5;71,36223898109259;0,5138433433223321;19,0;56,0;99,0;193,0;136,07981927710844;26,0
farashi;SVM;combo;normal;diff expression;2000;194,0;736,0;84,98790322061669;0,6523617442073228;45,0;121,0;186,0;279,0;58,86684782608695;16,5;67,61917475478239;0,47254634103126153;11,0;31,0;64,0;149,0;196,8328804347826;44,0
farashi;SVM;combo;normal;no expression;100;54,0;55,0;74,94729907773386;0,7324074074074075;32,0;48,0;55,0;55,0;1,8363636363636364;1,0;65,02635046113306;0,5927469135802469;24,0;47,0;54,0;55,0;2,1636363636363636;2,0
farashi;SVM;combo;normal;no expression;500;135,0;144,0;77,18834587707136;0,6783867923961141;53,0;89,0;99,0;124,0;5,006944444444445;2,5;70,21419257938865;0,5804526496338713;32,0;70,0;92,0;119,0;6,576388888888889;4,0
farashi;SVM;combo;normal;no expression;1000;173,0;185,0;77,15342482784344;0,6478626072223184;39,0;73,0;106,0;145,0;8,12972972972973;4,0;68,89785261878285;0,5467850362697847;24,0;51,0;76,0;118,0;11,416216216216217;7,0
farashi;SVM;combo;normal;no expression;2000;194,0;208,0;76,1157288840107;0,6800207928532795;43,0;72,0;93,0;123,0;13,370192307692308;7,0;67,65910673089627;0,5644289305103819;16,0;34,0;62,0;102,0;19,067307692307693;11,0
farashi;DT;combo;binary;diff expression;100;54,0;215,0;78,31730390224673;0,6190429778149077;26,0;77,0;117,0;182,0;10,06046511627907;5,0;69,88135593220339;0,6813735728209411;26,0;65,0;91,0;134,0;11,576744186046511;7,0
farashi;DT;combo;binary;diff expression;500;135,0;531,0;88,68833554775728;0,7160538645418391;48,0;143,0;217,0;302,0;13,2015065913371;8,0;74,83023325495908;0,6673213273011259;43,0;120,0;170,0;268,0;50,80790960451977;10,0
farashi;DT;combo;binary;diff expression;1000;173,0;664,0;91,17782316280376;0,734817298596821;51,0;155,0;240,0;340,0;16,936746987951807;10,0;80,02756699405357;0,689083217174417;35,0;102,0;153,0;291,0;66,3132530120482;13,0
farashi;DT;combo;binary;diff expression;2000;194,0;736,0;91,91941492065902;0,7801850085657465;55,0;171,0;268,0;393,0;20,76766304347826;9,0;75,8914356282088;0,7330888496618795;18,0;43,0;64,0;157,0;91,61820652173913;36,5
farashi;DT;combo;binary;no expression;100;54,0;55,0;70,63899868247694;0,6520061728395062;28,0;48,0;53,0;55,0;2,018181818181818;1,0;71,75889328063242;0,6569444444444444;23,0;52,0;55,0;55,0;1,8545454545454545;2,0
farashi;DT;combo;binary;no expression;500;135,0;144,0;82,59907077309038;0,6931824116579106;49,0;92,0;116,0;135,0;3,7152777777777777;2,0;70,48755529147685;0,5909726778195101;23,0;71,0;97,0;118,0;6,555555555555555;4,0
farashi;DT;combo;binary;no expression;1000;173,0;185,0;86,18036897106664;0,7469594191792922;51,0;115,0;136,0;164,0;4,972972972972973;2,0;74,33054060961038;0,6635725595074418;27,0;67,0;94,0;138,0;9,032432432432433;5,0
farashi;DT;combo;binary;no expression;2000;194,0;208,0;87,95599713405896;0,7879645184966878;61,0;127,0;145,0;172,0;6,649038461538462;3,0;79,21201865910547;0,7323252152903766;13,0;48,0;90,0;147,0;10,524038461538462;7,0
farashi;DT;combo;normal;diff expression;100;54,0;215,0;78,05912495072921;0,6525770444630093;26,0;76,0;111,0;180,0;11,125581395348837;5,0;77,24871895940088;0,7454283857792631;31,0;78,0;109,0;170,0;10,051162790697674;5,0
farashi;DT;combo;normal;diff expression;500;135,0;531,0;89,22629201791715;0,698196806850926;49,0;152,0;224,0;315,0;12,642184557438794;7,0;70,64198948545908;0,6414085273032294;28,0;75,0;115,0;180,0;60,48964218455744;24,0
farashi;DT;combo;normal;diff expression;1000;173,0;664,0;91,17143750924392;0,7380198644301883;52,0;152,0;242,0;345,0;17,022590361445783;9,0;75,82955093268447;0,6933701437777315;29,0;82,0;119,0;227,0;80,50451807228916;24,0
farashi;DT;combo;normal;diff expression;2000;194,0;736,0;91,91978696218482;0,7818092534485581;60,0;173,0;270,0;393,0;20,77038043478261;9,0;77,74958596805767;0,7293906566904691;14,0;48,0;72,0;154,0;81,52309782608695;38,0
farashi;DT;combo;normal;no expression;100;54,0;55,0;71,10671936758894;0,6427469135802469;28,0;48,0;53,0;55,0;2,036363636363636;1,0;71,44927536231883;0,6384259259259258;23,0;53,0;54,0;55,0;1,8727272727272728;2,0
farashi;DT;combo;normal;no expression;500;135,0;144,0;82,95660856935368;0,7053222442791636;46,0;90,0;120,0;136,0;3,6319444444444446;2,0;73,64081996434936;0,6492537987940427;25,0;79,0;107,0;124,0;5,993055555555555;3,0
farashi;DT;combo;normal;no expression;1000;173,0;185,0;85,65288262962682;0,7289294613815797;49,0;114,0;136,0;161,0;5,124324324324324;3,0;76,40187593675965;0,6702097530102246;25,0;76,0;108,0;140,0;8,259459459459459;4,0
farashi;DT;combo;normal;no expression;2000;194,0;208,0;87,26196555789303;0,7737327389788755;56,0;121,0;140,0;172,0;6,9951923076923075;3,0;79,01082477108042;0,7376617711052734;22,0;64,0;93,0;142,0;10,711538461538462;6,0
farashi;KNN;combo;binary;diff expression;100;54,0;215,0;84,29720141899881;0,7044753086419753;31,0;79,0;117,0;188,0;5,897674418604651;5,0;50,795821836815136;0,508179012345679;20,0;45,0;57,0;88,0;17,190697674418605;23,0
farashi;KNN;combo;binary;diff expression;500;135,0;531,0;89,0176893666425;0,7135318584132803;51,0;149,0;221,0;313,0;12,898305084745763;7,0;75,43450728894399;0,6525463079951636;26,0;88,0;125,0;208,0;43,64595103578154;16,0
farashi;KNN;combo;binary;diff expression;1000;173,0;664,0;91,2742809545233;0,7301363923490933;53,0;159,0;239,0;347,0;16,73644578313253;9,0;76,37585887233766;0,659113417041547;31,0;99,0;164,0;294,0;84,50753012048193;14,0
farashi;KNN;combo;binary;diff expression;2000;194,0;736,0;91,93665753710279;0,7770906858712004;58,0;168,0;269,0;393,0;20,63858695652174;9,0;76,73302573610327;0,7137321379315734;23,0;63,0;121,0;232,0;92,43885869565217;29,0
farashi;KNN;combo;binary;no expression;100;54,0;55,0;74,76943346508564;0,7134259259259259;32,0;52,0;53,0;55,0;1,8727272727272728;1,0;72,92490118577076;0,6720679012345679;27,0;52,0;54,0;55,0;1,8545454545454545;2,0
