refset;algorithm;variation;binary;expression;bp distance;Recall snps;Recall genes;ROC-AUC overall (lso);ROC-AUC - mean per snpl (lso);Hits@1(lso);Hits@3(lso);Hits@5(lso);Hits@10(lso);Mean rank (lso);Median rank (lso);ROC-AUC overall (lco);ROC-AUC - mean per snpl (lco);Hits@1(lco);Hits@3(lco);Hits@5(lco);Hits@10(lco);Mean rank (lco);Median rank (lco)
farashi;LR;outgoing;binary;no expression;500;128,0;137,0;69,87293480283698;0,5548953662235824;27,0;59,0;88,0;114,0;5,474452554744525;4,0;74,79399722917228;0,6358524073785019;33,0;89,0;105,0;121,0;5,321167883211679;3,0
farashi;LR;outgoing;binary;no expression;1000;164,0;176,0;68,05694117968622;0,5495203880232178;16,0;50,0;74,0;115,0;10,079545454545455;7,0;78,343577461324;0,7025023189558726;42,0;98,0;115,0;139,0;7,079545454545454;3,0
farashi;LR;outgoing;binary;no expression;2000;182,0;196,0;63,54784541162309;0,5197699840720639;11,0;29,0;44,0;86,0;18,163265306122447;12,0;80,92065244328293;0,7603705246939153;42,0;98,0;115,0;139,0;9,061224489795919;3,5
farashi;LR;outgoing;normal;diff expression;100;50,0;210,0;72,42826617826617;0,5299238095238095;21,0;66,0;97,0;165,0;9,957142857142857;6,0;72,85205535205534;0,7020095238095237;26,0;71,0;100,0;159,0;9,747619047619047;6,0
farashi;LR;outgoing;normal;diff expression;500;128,0;511,0;80,52218448827642;0,5853622244922022;31,0;101,0;150,0;263,0;28,79647749510763;10,0;79,33169640984791;0,6507970076122477;35,0;115,0;166,0;283,0;33,974559686888455;9,0
farashi;LR;outgoing;normal;diff expression;1000;164,0;642,0;80,61943853791243;0,6058689539214827;35,0;94,0;148,0;223,0;55,87227414330218;18,0;83,66568621368424;0,7236912269071826;46,0;134,0;198,0;332,0;45,61682242990654;10,0
farashi;LR;outgoing;normal;diff expression;2000;182,0;705,0;75,91030877660832;0,5734088664798231;29,0;83,0;132,0;194,0;95,96595744680852;27,0;80,1783532584595;0,7601101309942647;39,0;121,0;174,0;284,0;67,0127659574468;17,0
farashi;LR;outgoing;normal;no expression;100;50,0;51,0;60,68627450980393;0,5630158730158731;21,0;45,0;50,0;51,0;2,1372549019607843;2,0;74,25133689839572;0,7242222222222222;27,0;51,0;51,0;51,0;1,6470588235294117;1,0
farashi;LR;outgoing;normal;no expression;500;128,0;137,0;69,04116953743718;0,5511490997245584;26,0;57,0;86,0;114,0;5,598540145985401;4,0;75,54977151010111;0,6517931904091288;39,0;91,0;105,0;121,0;5,233576642335766;3,0
farashi;LR;outgoing;normal;no expression;1000;164,0;176,0;68,41841824741704;0,5522495056083175;18,0;51,0;75,0;116,0;9,994318181818182;7,0;78,35049609140108;0,7026241811305428;42,0;98,0;115,0;139,0;7,079545454545454;3,0
farashi;LR;outgoing;normal;no expression;2000;182,0;196,0;63,54784541162309;0,5197699840720639;11,0;29,0;44,0;86,0;18,163265306122447;12,0;80,90600851600693;0,7602819036375524;41,0;98,0;115,0;139,0;9,066326530612244;3,5
farashi;SVM;incoming;binary;diff expression;100;45,0;193,0;78,64350438876664;0,784623991673172;29,0;70,0;99,0;159,0;8,549222797927461;5,0;79,63837035985522;0,7848191517043975;29,0;70,0;98,0;159,0;8,492227979274611;5,0
farashi;SVM;incoming;binary;diff expression;500;121,0;492,0;90,04432363600745;0,7528515554168623;56,0;159,0;231,0;348,0;10,573170731707316;6,0;64,56211839226826;0,5276794158001965;19,0;58,0;77,0;133,0;63,72154471544715;22,0
farashi;SVM;incoming;binary;diff expression;1000;159,0;613,0;91,05114678615726;0,6981048204653622;53,0;150,0;232,0;351,0;14,776508972267537;8,0;67,11354952862494;0,5037260902219209;19,0;49,0;80,0;135,0;108,38172920065253;57,0
farashi;SVM;incoming;binary;diff expression;2000;180,0;680,0;91,11661973125373;0,727916811379377;54,0;154,0;251,0;372,0;19,83235294117647;9,0;62,30703965550064;0,47254516433472976;8,0;26,0;44,0;82,0;166,4985294117647;109,0
farashi;SVM;incoming;binary;no expression;100;45,0;46,0;83,97579560735096;0,8482010582010583;31,0;45,0;45,0;46,0;1,4565217391304348;1,0;66,8646346929628;0,5585714285714286;18,0;44,0;45,0;46,0;1,9130434782608696;2,0
farashi;SVM;incoming;binary;no expression;500;121,0;130,0;85,21515906932574;0,753679680838228;53,0;94,0;115,0;126,0;2,9076923076923076;2,0;73,07009734093067;0,5977294185345419;31,0;66,0;94,0;116,0;4,984615384615385;3,0
farashi;SVM;incoming;binary;no expression;1000;159,0;170,0;84,51499236058059;0,7433180912513168;55,0;110,0;128,0;150,0;4,841176470588235;2,0;70,68029029793735;0,5646984432576764;26,0;63,0;82,0;122,0;9,217647058823529;6,0
farashi;SVM;incoming;binary;no expression;2000;180,0;192,0;84,81360779060182;0,7830011030861905;64,0;113,0;130,0;148,0;7,208333333333333;3,0;66,6484181780709;0,5430737363117885;29,0;43,0;60,0;94,0;16,369791666666668;11,5
farashi;SVM;incoming;normal;diff expression;100;45,0;193,0;79,8956632834126;0,7287370977534912;28,0;67,0;98,0;157,0;7,404145077720207;5,0;79,05576454444368;0,7079963570127504;27,0;64,0;94,0;155,0;7,549222797927461;6,0
