refset;bp distance;Recall snps (lco);Recall genes (lco);ROC-AUC overall (lco);ROC-AUC - mean per snpl (lco);Hits@1(lco);Hits@3(lco);Hits@5(lco);Hits@10(lco);Mean rank (lco);Median rank (lco)
DeRycke;25;1,0;1,0;;1,0;1,0;1,0;1,0;1,0;1,0;1,0
DeRycke;50;2,0;2,0;;1,0;2,0;2,0;2,0;2,0;1,0;1,0
DeRycke;100;3,0;3,0;;1,0;3,0;3,0;3,0;3,0;1,0;1,0
DeRycke;500;4,0;4,0;100,0;1,0;4,0;4,0;4,0;4,0;1,0;1,0
DeRycke;1000;6,0;6,0;92,42424242424244;0,8333333333333334;5,0;6,0;6,0;6,0;1,1666666666666667;1,0
DeRycke;2000;6,0;6,0;78,33333333333334;0,7708333333333334;3,0;5,0;6,0;6,0;1,8333333333333333;1,5
DeRycke;depict;2,0;2,0;25,0;0,5;1,0;2,0;2,0;2,0;1,5;1,5
