refset;algorithm;variation;weighted;bp distance;ROC-AUC overall (lso);ROC-AUC - mean per snpl (lso);Hits@1(lso);Hits@3(lso);Hits@5(lso);Hits@10(lso);Mean rank (lso);Median rank (lso);ROC-AUC overall (lco);ROC-AUC - mean per snpl (lco);Hits@1(lco);Hits@3(lco);Hits@5(lco);Hits@10(lco);Mean rank (lco);Median rank (lco)
farashi;RF;autoencode;weighted;500;83,47135571400277;0,7414042422035796;47,0;93,0;118,0;138,0;3,486111111111111;2,0;66,63943355119825;0,5191912831059099;13,0;53,0;82,0;116,0;6,833333333333333;4,0
farashi;RF;autoencode;weighted;1000;83,39222688059897;0,724726109058156;45,0;100,0;125,0;158,0;5,783783783783784;3,0;65,64763332205192;0,4960305961210996;14,0;36,0;66,0;121,0;12,654054054054054;8,0
farashi;RF;autoencode;weighted;2000;83,53036677947499;0,7430340691590603;45,0;95,0;113,0;153,0;8,567307692307692;4,0;63,56202424870676;0,4866814935531023;3,0;17,0;38,0;84,0;20,95673076923077;14,0
farashi;RF;autoencode;unweighted;100;71,58102766798419;0,6841049382716049;30,0;47,0;54,0;55,0;1,9636363636363636;1,0;60,072463768115945;0,5311728395061729;18,0;46,0;53,0;55,0;2,3454545454545452;2,0
farashi;RF;autoencode;unweighted;500;84,95287845778041;0,7495552783149002;46,0;104,0;124,0;138,0;3,2777777777777777;2,0;68,28724334851786;0,5609748116436925;14,0;66,0;95,0;113,0;6,652777777777778;4,0
farashi;RF;autoencode;unweighted;1000;84,34594318315249;0,7334942692996257;41,0;107,0;133,0;159,0;5,5675675675675675;3,0;66,93965368383972;0,5013580963097697;11,0;52,0;74,0;118,0;12,497297297297298;7,0
farashi;RF;autoencode;unweighted;2000;84,56028257975345;0,7606639226050654;42,0;92,0;123,0;165,0;8,432692307692308;4,0;64,29477016575709;0,5010916006898384;4,0;29,0;49,0;84,0;20,807692307692307;13,0
farashi;RF;combi;weighted;100;78,80105401844534;0,7908950617283951;34,0;50,0;55,0;55,0;1,6727272727272726;1,0;69,39393939393939;0,6612654320987654;25,0;48,0;54,0;55,0;2,018181818181818;2,0
farashi;RF;combi;weighted;500;83,062446359015;0,7203769362353412;46,0;96,0;119,0;138,0;3,5555555555555554;2,0;67,02833069254638;0,5442650101902905;21,0;53,0;82,0;117,0;6,819444444444445;5,0
farashi;RF;combi;weighted;1000;82,43187987374034;0,7201453184851339;46,0;99,0;124,0;154,0;6,183783783783784;3,0;66,48496695008322;0,500242763800557;13,0;43,0;76,0;116,0;12,31891891891892;8,0
farashi;RF;combi;weighted;2000;82,91239824384891;0,7311945659248353;44,0;93,0;112,0;153,0;8,817307692307692;4,5;62,34463449088895;0,4631455274513406;2,0;18,0;39,0;78,0;22,173076923076923;14,0
farashi;RF;combi;unweighted;100;70,71805006587616;0,684104938271605;28,0;48,0;54,0;55,0;1,9636363636363636;1,0;63,20816864295124;0,578858024691358;22,0;45,0;52,0;55,0;2,309090909090909;2,0
farashi;RF;combi;unweighted;500;85,30917838515877;0,7599569790933512;45,0;107,0;127,0;138,0;3,201388888888889;2,0;67,81045751633987;0,5591939847652839;18,0;60,0;87,0;114,0;6,673611111111111;4,0
farashi;RF;combi;unweighted;1000;84,65171534938976;0,7537098133976109;46,0;107,0;131,0;159,0;5,372972972972973;3,0;66,41265083125548;0,49301745871873964;11,0;46,0;78,0;120,0;12,794594594594594;7,0
farashi;RF;combi;unweighted;2000;84,76693903269408;0,7724986623147214;43,0;94,0;118,0;165,0;8,211538461538462;4,0;63,00163495838288;0,47773330920842166;6,0;22,0;45,0;86,0;21,889423076923077;14,0
farashi p-value cutoff;LR;normal;weighted;100;68,74626865671641;0,6236111111111112;11,0;21,0;25,0;25,0;2,12;2,0;80,80597014925374;0,7694444444444445;13,0;23,0;25,0;25,0;1,64;1,0
farashi p-value cutoff;LR;normal;weighted;500;68,40584238069202;0,5841146140733589;20,0;27,0;33,0;45,0;8,096774193548388;4,5;74,11934702804031;0,6359709013677021;16,0;36,0;46,0;49,0;6,725806451612903;3,0
farashi p-value cutoff;LR;normal;weighted;1000;66,8852306276823;0,5071436167055804;6,0;21,0;26,0;50,0;15,421686746987952;8,0;78,39827167539175;0,6996163524884573;20,0;41,0;49,0;58,0;9,096385542168674;4,0
farashi p-value cutoff;LR;normal;weighted;2000;62,912462427228945;0,48499089164724174;5,0;11,0;21,0;34,0;25,32608695652174;16,5;81,4073447085247;0,7641630291528162;19,0;41,0;49,0;58,0;10,978260869565217;5,0
