bp distance absolute;DEPICT p-value;predicates_score;node2vec_normal_score;node2vec_graphlet_score;node2vec_autoencode_score;node2vec_combi_score;distance_score;EVOKE_score;rdf2vec_score;struc2vec_score;Recall snps;Recall genes;Recall entries;ROC-AUC overall (lso);ROC-AUC - mean per snpl (lso);Hits@1(lso);Hits@3(lso);Hits@5(lso);Hits@10(lso);Mean rank (lso);Median rank (lso)
False;False;False;True;False;False;False;True;True;False;True;67,0;185,0;68,0;79,93697478991596;0,7644081603695302;45,0;61,0;66,0;68,0;1,7205882352941178;1,0
False;False;False;True;False;False;False;True;False;True;True;67,0;185,0;68,0;82,24789915966386;0,7768301350390903;47,0;63,0;66,0;67,0;1,7058823529411764;1,0
False;False;False;True;False;False;False;False;True;True;True;67,0;185,0;68,0;80,91324765200197;0,7947596496762431;45,0;62,0;67,0;68,0;1,6764705882352942;1,0
False;False;False;False;True;True;True;True;False;False;False;67,0;185,0;68,0;76,57563025210084;0,7213817910701141;43,0;62,0;63,0;66,0;2,014705882352941;1,0
False;False;False;False;True;True;True;False;True;False;False;67,0;185,0;68,0;82,42708848245181;0,8053267213714974;47,0;62,0;65,0;68,0;1,7205882352941178;1,0
False;False;False;False;True;True;True;False;False;True;False;67,0;185,0;68,0;80,88235294117648;0,7878711864664455;47,0;63,0;64,0;68,0;1,7794117647058822;1,0
False;False;False;False;True;True;True;False;False;False;True;67,0;185,0;68,0;76,65595650024714;0,7219804022920792;43,0;62,0;64,0;67,0;1,9558823529411764;1,0
False;False;False;False;True;True;False;True;True;False;False;67,0;185,0;68,0;80,41893227879387;0,795708717679745;48,0;62,0;64,0;68,0;1,838235294117647;1,0
False;False;False;False;True;True;False;True;False;True;False;67,0;185,0;68,0;83,3848245180425;0,814743129273419;49,0;64,0;64,0;67,0;1,75;1,0
False;False;False;False;True;True;False;True;False;False;True;67,0;185,0;68,0;75,61171527434503;0,7031268409670518;41,0;62,0;65,0;67,0;2,0;1,0
False;False;False;False;True;True;False;False;True;True;False;67,0;185,0;68,0;81,16040533860604;0,8127656535250917;48,0;62,0;63,0;68,0;1,838235294117647;1,0
False;False;False;False;True;True;False;False;True;False;True;67,0;185,0;68,0;78,12036579337618;0,7640398085964373;45,0;62,0;64,0;68,0;1,9264705882352942;1,0
False;False;False;False;True;True;False;False;False;True;True;67,0;185,0;68,0;76,94018783984183;0,7316796460782413;43,0;60,0;63,0;68,0;2,014705882352941;1,0
False;False;False;False;True;False;True;True;True;False;False;67,0;185,0;68,0;80,84527928818586;0,8060547149660408;48,0;62,0;65,0;68,0;1,8088235294117647;1,0
False;False;False;False;True;False;True;True;False;True;False;67,0;185,0;68,0;81,81537320810678;0,7980950860669913;48,0;63,0;64,0;67,0;1,8088235294117647;1,0
False;False;False;False;True;False;True;True;False;False;True;67,0;185,0;68,0;79,2140385565991;0,7753825410761321;46,0;62,0;65,0;67,0;1,8676470588235294;1,0
False;False;False;False;True;False;True;False;True;True;False;67,0;185,0;68,0;81,22219476025705;0,8131264038858419;48,0;62,0;63,0;68,0;1,8235294117647058;1,0
False;False;False;False;True;False;True;False;True;False;True;67,0;185,0;68,0;77,60133465150767;0,752356437826148;45,0;59,0;64,0;68,0;1,9411764705882353;1,0
False;False;False;False;True;False;True;False;False;True;True;67,0;185,0;68,0;78,60850222441918;0,7602172483647461;46,0;59,0;62,0;68,0;1,9705882352941178;1,0
False;False;False;False;True;False;False;True;True;True;False;67,0;185,0;68,0;80,1594167078596;0,7747399050076839;47,0;60,0;64,0;67,0;1,9411764705882353;1,0
False;False;False;False;True;False;False;True;True;False;True;67,0;185,0;68,0;78,01532377656945;0,7481167500921672;45,0;62,0;64,0;67,0;2,0294117647058822;1,0
False;False;False;False;True;False;False;True;False;True;True;67,0;185,0;68,0;79,77014335145822;0,7594191000687929;46,0;60,0;64,0;66,0;1,9264705882352942;1,0
False;False;False;False;True;False;False;False;True;True;True;67,0;185,0;68,0;79,71453287197232;0,7746977805142862;45,0;61,0;64,0;68,0;1,8823529411764706;1,0
False;False;False;False;False;True;True;True;True;False;False;67,0;185,0;68,0;80,34478497281266;0,7844315473815036;48,0;60,0;65,0;68,0;1,7941176470588236;1,0
False;False;False;False;False;True;True;True;False;True;False;67,0;185,0;68,0;81,34577360355907;0,7901497098160837;46,0;62,0;66,0;68,0;1,7205882352941178;1,0
False;False;False;False;False;True;True;True;False;False;True;67,0;185,0;68,0;82,60627780523974;0,7972394520901985;48,0;64,0;66,0;67,0;1,6764705882352942;1,0
False;False;False;False;False;True;True;False;True;True;False;67,0;185,0;68,0;81,27162629757785;0,8051705756929636;48,0;62,0;65,0;68,0;1,7352941176470589;1,0
False;False;False;False;False;True;True;False;True;False;True;67,0;185,0;68,0;81,17894216510133;0,7923043934896435;46,0;63,0;66,0;68,0;1,6470588235294117;1,0
False;False;False;False;False;True;True;False;False;True;True;67,0;185,0;68,0;80,24592189817102;0,753839029958433;45,0;63,0;65,0;68,0;1,7647058823529411;1,0
False;False;False;False;False;True;False;True;True;True;False;67,0;185,0;68,0;81,80301532377658;0,8223261715360046;49,0;61,0;63,0;68,0;1,7941176470588236;1,0
False;False;False;False;False;True;False;True;True;False;True;67,0;185,0;68,0;80,95032130499258;0,7834498566500322;45,0;63,0;66,0;68,0;1,6470588235294117;1,0
False;False;False;False;False;True;False;True;False;True;True;67,0;185,0;68,0;80,42511122095898;0,7724352518031185;45,0;63,0;66,0;67,0;1,7794117647058822;1,0
False;False;False;False;False;True;False;False;True;True;True;67,0;185,0;68,0;79,30054374691052;0,7565285046628331;44,0;61,0;65,0;68,0;1,7794117647058822;1,0
False;False;False;False;False;False;True;True;True;True;False;67,0;185,0;68,0;80,88853188334157;0,8129335180476531;47,0;62,0;64,0;68,0;1,7941176470588236;1,0
False;False;False;False;False;False;True;True;True;False;True;67,0;185,0;68,0;81,36431043005437;0,8018400485476869;47,0;63,0;66,0;68,0;1,661764705882353;1,0
False;False;False;False;False;False;True;True;False;True;True;67,0;185,0;68,0;81,85244686109738;0,7930097412099169;46,0;64,0;66,0;68,0;1,6911764705882353;1,0
False;False;False;False;False;False;True;False;True;True;True;67,0;185,0;68,0;78,78769154720712;0,7516476061252181;44,0;61,0;65,0;68,0;1,8235294117647058;1,0
False;False;False;False;False;False;False;True;True;True;True;67,0;185,0;68,0;78,96070192782994;0,7627512108416411;44,0;61,0;64,0;68,0;1,838235294117647;1,0
True;True;True;True;True;False;False;False;False;False;False;64,0;163,0;65,0;78,76923076923077;0,7578125;43,0;61,0;63,0;65,0;1,676923076923077;1,0
True;True;True;True;False;True;False;False;False;False;False;64,0;163,0;65,0;78,76923076923077;0,7578125;43,0;61,0;63,0;65,0;1,676923076923077;1,0
True;True;True;True;False;False;True;False;False;False;False;64,0;163,0;65,0;78,76923076923077;0,7578125;43,0;61,0;63,0;65,0;1,676923076923077;1,0
True;True;True;True;False;False;False;True;False;False;False;64,0;163,0;65,0;78,76923076923077;0,7578125;43,0;61,0;63,0;65,0;1,676923076923077;1,0
