refset;bp distance;algorithm;ROC-AUC overall (lco);ROC-AUC - mean per snpl (lco);Hits@1(lco);Hits@3(lco);Hits@5(lco);Hits@10(lco);Mean rank (lco);Median rank (lco)
DeRycke;500;DT;59,28370274322299;0,4862154528594016;16,0;35,0;55,0;79,0;8,517241379310345;6,0
DeRycke;500;KNN1;59,23659791725758;0,5008284728368189;17,0;36,0;59,0;81,0;8,655172413793103;5,0
DeRycke;500;KNN3;58,2387860123992;0,49396662150335946;10,0;37,0;57,0;80,0;8,96551724137931;6,0
DeRycke;500;KNN5;57,90651971311641;0,46270979580791544;10,0;38,0;57,0;80,0;9,008620689655173;6,0
DeRycke;500;KNN7;57,38431459945702;0,44079619427798494;12,0;42,0;54,0;78,0;9,577586206896552;6,0
DeRycke;500;KNN9;55,87037562299931;0,383498592924594;11,0;37,0;56,0;78,0;9,974137931034482;6,0
DeRycke;500;RF;57,06876291583938;0,4251699252733456;12,0;34,0;49,0;82,0;9,25;6,0
DeRycke;1000;LR;72,20895721479307;0,6440421407636266;31,0;64,0;82,0;109,0;9,9171974522293;5,0
DeRycke;1000;SVM;61,82895921566012;0,49721254084453753;14,0;37,0;53,0;86,0;13,78343949044586;10,0
DeRycke;1000;DT;59,25284289858938;0,48876509373712346;11,0;32,0;51,0;84,0;14,821656050955413;10,0
DeRycke;1000;KNN1;60,815853536532494;0,5181379475128186;12,0;35,0;55,0;88,0;14,414012738853502;10,0
DeRycke;1000;KNN3;58,74945809850934;0,48644386069828577;14,0;29,0;49,0;84,0;15,229299363057326;10,0
DeRycke;1000;KNN5;58,08400306799613;0,4659381991515891;15,0;26,0;47,0;83,0;15,509554140127388;10,0
DeRycke;1000;KNN7;58,08450328475673;0,46735066789288937;15,0;27,0;45,0;83,0;15,624203821656051;10,0
DeRycke;1000;KNN9;57,82772534765065;0,47855200965423483;14,0;30,0;45,0;78,0;15,560509554140127;11,0
DeRycke;1000;RF;58,17137426218029;0,4595809724046122;4,0;34,0;55,0;88,0;16,273885350318473;9,0
DeRycke;2000;LR;76,93746981237229;0,7444086135009256;31,0;64,0;82,0;109,0;12,17142857142857;7,0
DeRycke;2000;SVM;55,32141928292773;0,45435375927118987;6,0;19,0;28,0;57,0;26,81142857142857;18,0
DeRycke;2000;DT;54,29723202675088;0,44354525296891345;5,0;16,0;27,0;57,0;27,502857142857142;19,0
DeRycke;2000;KNN1;56,013078209177046;0,47554796552234946;7,0;21,0;30,0;58,0;26,462857142857143;17,0
DeRycke;2000;KNN3;55,16641278097716;0,46390965371305104;7,0;16,0;30,0;55,0;27,194285714285716;19,0
DeRycke;2000;KNN5;56,03886308749768;0,48316210008137267;7,0;19,0;37,0;55,0;26,497142857142858;18,0
DeRycke;2000;KNN7;57,18944826305036;0,4925442528658585;8,0;19,0;35,0;57,0;25,697142857142858;17,0
