refset;bp distance;algorithm;Recall snps;Recall genes;ROC-AUC overall (lso);ROC-AUC - mean per snpl (lso);Hits@1(lso);Hits@3(lso);Hits@5(lso);Hits@10(lso);Mean rank (lso);Median rank (lso)
DeRycke;100;KNN3;29,0;36,0;77,71164021164022;0,7757575757575758;22,0;32,0;36,0;36,0;1,7777777777777777;1,0
DeRycke;100;KNN5;29,0;36,0;72,99382716049382;0,6836990595611285;19,0;33,0;35,0;36,0;1,9722222222222223;1,0
DeRycke;100;KNN7;29,0;36,0;65,38800705467372;0,5594566353187044;13,0;32,0;35,0;35,0;2,2777777777777777;2,0
DeRycke;100;KNN9;29,0;36,0;65,47619047619047;0,5981191222570532;16,0;32,0;35,0;35,0;2,3055555555555554;2,0
DeRycke;100;RF;29,0;36,0;87,16931216931216;0,8896551724137931;25,0;34,0;36,0;36,0;1,5;1,0
DeRycke;500;LR;76,0;116,0;60,2131366749058;0,4753838936963052;13,0;45,0;60,0;85,0;8,827586206896552;5,0
DeRycke;500;SVM;76,0;116,0;80,79288058673366;0,8015264664213739;45,0;80,0;87,0;99,0;4,379310344827586;2,0
DeRycke;500;DT;76,0;116,0;89,7402650026338;0,8842692104162184;58,0;91,0;103,0;111,0;2,7327586206896552;1,5
DeRycke;500;KNN1;76,0;116,0;86,21905263584424;0,8281828493056723;54,0;84,0;99,0;107,0;3,4051724137931036;2,0
DeRycke;500;KNN3;76,0;116,0;80,47884841363103;0,7489911412426368;33,0;75,0;90,0;104,0;4,137931034482759;3,0
DeRycke;500;KNN5;76,0;116,0;78,03851452652052;0,7158503133150784;37,0;67,0;82,0;101,0;4,646551724137931;2,0
DeRycke;500;KNN7;76,0;116,0;75,18335426881153;0,7326235661428367;36,0;66,0;79,0;97,0;5,2155172413793105;3,0
DeRycke;500;KNN9;76,0;116,0;74,84349041695368;0,7502175283667721;36,0;66,0;82,0;95,0;5,362068965517241;3,0
DeRycke;500;RF;76,0;116,0;87,50709104907006;0,858012539269956;44,0;87,0;100,0;113,0;2,913793103448276;2,0
DeRycke;1000;LR;95,0;157,0;57,857071397605644;0,4700880476339276;9,0;29,0;50,0;83,0;16,503184713375795;9,0
DeRycke;1000;SVM;95,0;157,0;73,87834728382299;0,7107106223026722;38,0;59,0;88,0;114,0;9,229299363057326;5,0
DeRycke;1000;DT;95,0;157,0;86,52249308033481;0,8134758931893623;60,0;99,0;112,0;139,0;4,617834394904459;2,0
DeRycke;1000;KNN1;95,0;157,0;86,42528428985894;0,8109462928124858;60,0;98,0;111,0;140,0;4,656050955414012;2,0
DeRycke;1000;KNN3;95,0;157,0;81,99986660886384;0,7674516001160936;41,0;87,0;103,0;128,0;5,853503184713376;3,0
